OTU ID		DF_5_6	HN_4_5	DF_2_5	HN_4_4	DF_4_2	HN_2_3	DF_1_1	LN_7_3	LN_2_2	DF_5_1	HN_3_5	HN_4_6	HN_1_3	HN_3_4	DF_7_5	LN_6_3	HN_1_2	LN_3_4	DF_1_5	LN_6_2	LN_3_1	HN_3_3	HN_6_8	DF_2_1	DF_4_8	HN_6_4	HN_5_3	HN_1_4	LN_1_2	DF_7_1	LN_3_6	LN_5_3	HN_1_7	HN_3_7	DF_4_4	HN_5_5	LN_2_1	LN_5_6	HN_5_2	DF_5_2	DF_6_6	LN_7_2	HN_2_2	DF_7_4	DF_3_6	HN_1_5	LN_5_5	DF_7_8	DF_6_7	LN_2_4	DF_2_7	HN_3_2	HN_4_7	DF_4_5	DF_1_4	DF_5_5	LN_5_7	DF_3_2	DF_5_8	DF_3_1	HN_2_4	DF_2_8	DF_4_3	DF_3_4	DF_6_3	DF_7_6	DF_4_6	DF_6_2	HN_3_6	HN_1_8	DF_2_4	HN_6_3	DF_6_5	LN_5_1	HN_4_1	DF_6_1	LN_1_3	LN_5_4	DF_7_7	DF_5_4	DF_3_8	DF_1_7	HN_1_1	LN_6_4	DF_5_7	DF_7_2	LN_2_3	DF_6_4	DF_1_3	HN_5_6	DF_4_1	HN_4_8	DF_2_3	DF_3_7	DF_6_8	DF_4_7	LN_5_8	HN_5_8	HN_5_4	DF_1_8	LN_1_1	HN_5_7	DF_1_2	LN_3_3	HN_3_8	DF_5_3	HN_6_2	DF_2_6	DF_3_5	HN_6_6	HN_6_5	DF_1_6	HN_6_1	HN_5_1	LN_3_5	DF_2_2	DF_3_3	HN_1_6	HN_4_3	HN_6_7	LN_6_1	LN_4_1	HN_4_2	HN_2_1	LN_3_2	LN_5_2
Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;uncultured rumen bacterium;Other	OTU_2131	3	2	0	0	2	0	4	0	1	18	0	0	3	0	9	0	0	0	0	0	1	0	21	10	0	15	0	0	0	4	0	0	0	0	9	0	8	1	0	22	2	4	0	23	1	0	0	32	2	0	0	0	0	0	3	12	0	0	1	0	0	0	6	2	0	24	0	11	0	0	0	3	0	1	0	3	0	0	18	0	0	10	8	2	4	1	1	13	3	0	2	0	1	0	3	0	0	0	0	1	0	0	11	0	0	1	1	0	7	8	3	0	5	1	0	15	1	0	0	5	4	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-011;uncultured bacterium;Other	OTU_128894	16	3	0	1	3	0	6	16	47	5	10	23	8	7	3	1	11	14	23	4	73	1	14	10	13	16	45	1	4	13	2	1	4	0	6	3	7	0	8	19	22	26	6	9	7	0	2	3	15	14	0	14	4	27	16	15	1	31	92	16	3	6	5	8	12	9	14	9	0	2	19	2	2	87	2	5	9	0	1	0	5	21	20	25	29	0	29	39	11	2	0	0	0	2	12	5	1	5	6	6	1	2	13	8	7	10	8	0	12	17	16	0	19	16	1	6	1	4	0	36	2	12	0	0	0	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;uncultured Firmicutes bacterium;Other;Other	OTU_1658	9	2	4	8	0	0	1	3	14	7	2	12	0	3	6	2	0	7	10	1	18	0	0	1	5	11	2	0	1	0	0	12	2	7	10	2	0	10	4	9	21	6	2	17	3	0	1	8	12	2	0	10	1	6	14	20	6	15	27	12	5	1	4	4	12	2	18	5	0	0	5	0	13	17	9	4	2	1	9	0	1	10	0	1	0	4	1	18	12	0	0	0	2	0	14	10	6	1	0	2	0	2	27	0	0	6	0	0	2	1	2	3	2	2	0	8	8	0	0	3	5	0	2	0	0	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;uncultured;uncultured bacterium;Other	OTU_15854	11	0	0	0	0	0	3	25	11	6	0	2	2	4	28	0	0	0	12	0	7	2	3	5	5	2	12	2	1	0	0	4	1	7	2	0	5	9	2	5	19	26	2	9	2	0	3	5	15	1	1	18	7	3	13	14	3	0	3	8	1	2	5	9	8	62	3	9	0	1	3	0	7	11	5	0	5	1	5	1	0	23	0	2	5	0	3	7	7	1	0	0	0	0	4	3	0	1	1	13	0	9	14	0	0	6	1	0	2	9	9	5	5	12	0	5	10	0	2	6	0	5	1	0	0	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;uncultured;uncultured Clostridium sp.;Other	OTU_497	4	0	23	2	2	0	8	0	35	3	0	3	0	0	34	0	0	0	21	0	10	0	0	9	22	0	11	0	0	0	0	0	2	1	11	2	9	3	5	0	12	16	1	51	0	0	1	7	3	10	2	6	4	4	0	17	1	5	14	2	0	7	2	0	3	42	24	1	0	1	25	0	5	0	1	5	1	0	26	4	1	28	12	0	14	10	22	6	6	0	0	0	9	0	2	20	0	0	0	7	1	4	3	0	0	8	6	5	1	1	0	1	9	14	0	0	12	0	0	1	0	2	0	0	0	0
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;uncultured;uncultured bacterium	OTU_225	31	4	6	9	7	5	23	38	139	25	10	13	9	9	59	6	15	24	53	10	62	11	5	19	26	12	103	5	37	31	0	36	14	8	39	2	49	42	28	40	51	160	76	46	50	0	10	28	47	70	7	31	28	20	58	67	14	21	211	42	12	9	42	24	20	92	22	23	6	9	60	4	14	138	18	11	32	11	11	5	16	107	22	10	18	14	97	91	37	3	5	0	11	2	36	39	1	13	3	19	20	13	38	0	12	15	20	12	40	5	12	13	27	40	7	36	30	12	6	12	13	14	2	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group;bacterium PM5-7	OTU_223	9	17	0	51	1	40	5	94	0	15	33	153	12	12	3	7	13	31	21	0	38	7	5	27	14	8	49	36	7	7	0	0	11	100	1	1	7	0	7	11	5	1	3	2	4	5	0	2	15	26	1	42	11	5	9	19	0	16	23	26	45	1	8	12	19	7	1	27	17	30	6	1	11	24	26	53	29	0	3	0	7	10	8	2	7	5	9	24	32	4	1	3	4	3	19	5	0	2	4	16	1	10	25	24	26	5	4	0	9	2	8	3	10	4	9	15	4	10	17	21	0	0	2	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group;uncultured Firmicutes bacterium	OTU_64119	1	3	0	2	4	1	7	5	23	1	3	1	0	2	61	3	0	25	7	3	26	5	15	8	6	7	15	1	13	7	0	4	3	12	9	0	13	6	13	6	12	45	17	23	6	3	0	35	18	5	0	14	0	6	13	18	10	8	48	17	11	1	5	4	7	104	7	1	3	0	4	1	8	30	24	8	10	4	12	0	0	17	5	3	8	5	48	15	19	1	0	2	1	3	13	11	11	4	0	17	0	0	4	2	2	0	7	0	9	12	6	5	8	9	1	3	5	2	6	6	4	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Amnipila;uncultured bacterium	OTU_63839	1	5	8	1	0	4	0	10	2	2	0	21	1	0	0	3	0	0	0	1	5	0	4	15	3	22	12	2	6	6	0	0	0	0	8	0	6	9	18	5	3	27	15	0	0	0	0	0	2	0	2	2	0	1	6	5	1	5	8	0	1	4	4	0	0	8	2	0	0	0	3	0	0	71	14	1	3	0	0	0	0	6	7	2	0	0	2	2	3	3	0	1	0	0	7	2	2	4	0	3	1	3	8	0	0	3	1	3	6	16	6	0	29	12	0	0	1	0	3	1	5	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Anaerovorax;uncultured bacterium	OTU_120243	5	4	0	4	1	8	2	4	33	6	4	30	2	5	11	0	0	3	5	0	19	1	9	5	3	1	10	3	2	4	0	0	0	3	6	1	11	0	9	4	10	21	7	2	9	0	0	2	15	3	0	1	2	3	9	6	0	2	16	1	2	1	9	2	5	6	3	0	2	2	9	2	1	58	1	1	5	0	2	0	4	22	4	7	2	0	7	6	16	2	0	0	2	0	2	12	0	9	0	7	0	4	13	0	0	5	4	0	7	28	18	2	23	11	0	13	2	0	7	6	10	2	0	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group;uncultured bacterium	OTU_36	84	7	22	19	12	99	25	427	1	17	78	79	7	134	1	0	8	0	3	3	38	83	3	36	0	5	6	5	1	7	0	1	18	61	21	3	9	0	1	37	12	115	27	0	24	6	0	1	13	0	25	40	26	14	270	115	0	86	203	49	106	14	24	32	50	12	3	59	92	43	26	0	7	34	12	22	0	0	0	0	6	34	28	0	63	1	2	340	31	57	8	5	19	7	6	6	0	13	1	9	2	35	49	0	6	6	0	7	21	11	4	6	4	7	0	66	37	0	44	1	3	0	4	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;uncultured;uncultured Eubacteriaceae bacterium	OTU_4217	4	1	0	2	1	7	2	11	36	4	2	8	11	5	17	2	0	11	5	0	11	1	4	16	13	2	21	8	6	3	0	6	1	3	10	0	13	20	2	15	6	28	6	3	4	6	5	8	13	11	0	6	3	3	4	4	6	0	19	9	3	2	0	0	4	51	7	4	0	3	2	1	5	30	3	1	9	4	1	0	2	0	8	6	4	0	37	8	9	4	2	0	1	0	12	2	12	1	0	4	0	4	3	5	4	0	3	0	0	4	9	1	10	9	2	0	9	5	2	8	6	3	1	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;uncultured;uncultured Firmicutes bacterium	OTU_276	2	2	13	0	6	4	5	19	84	14	8	5	31	12	76	6	26	6	5	3	22	4	12	16	14	10	27	12	21	10	0	2	3	6	12	5	27	23	30	10	7	80	15	39	11	14	16	21	18	19	2	22	5	21	30	16	22	13	81	10	1	2	6	5	11	199	19	7	11	9	14	10	4	28	17	10	11	6	4	0	1	22	26	11	13	7	68	23	11	7	9	3	2	0	9	14	13	0	0	5	9	4	7	0	2	1	15	2	7	41	13	1	22	26	1	22	3	5	9	14	31	7	0	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia;Romboutsia sp. MT17	OTU_91	0	0	0	0	18	0	4	0	0	0	0	0	29	0	0	0	177	184	0	0	109	0	17	21	142	17	80	0	0	51	0	2	28	0	0	0	5	4	45	4	0	3	0	0	166	4	14	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	24	19	4	0	0	1	1	1	0	41	1	129	5	5	3	0	0	0	23	3	175	0	0	0	0	1	0	2	8	0	0	18	0	2	0	11	0	1	0	4	2	170	4	0	129	0	59	0	0	0	202	52	22	3	0	47	1	5	2	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia;uncultured bacterium	OTU_126477	0	0	0	0	3	0	0	0	0	0	0	0	4	0	3	0	39	59	0	0	48	0	0	12	41	17	44	0	0	26	0	0	3	0	0	0	0	0	12	1	0	1	0	0	35	2	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	15	3	1	0	0	0	0	0	0	9	0	29	0	1	0	0	2	0	5	0	41	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	2	1	41	1	0	42	0	19	1	0	0	53	17	15	0	0	9	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia;uncultured organism	OTU_4787	0	0	0	0	4	0	1	0	0	0	0	0	2	0	53	0	10	19	3	2	34	0	7	0	0	12	57	0	0	21	0	6	0	0	0	1	0	3	10	0	0	1	0	1	38	0	1	61	0	7	0	0	0	0	0	10	0	4	0	0	0	0	108	2	0	52	0	0	0	0	0	12	0	57	0	1	0	1	23	0	11	0	96	0	0	0	9	0	0	5	0	0	0	4	0	0	0	25	0	0	1	0	2	6	2	4	26	0	27	1	0	0	46	15	0	0	0	1	0	4	0	0	0	0	0	0
Bacteria;Firmicutes;Incertae Sedis;DTU014;uncultured bacterium;Other;Other	OTU_201	0	2	0	4	0	0	9	6	24	26	0	0	4	11	5	0	3	0	21	6	101	10	12	6	70	4	2	20	5	6	0	0	23	1	26	6	2	0	2	11	6	9	15	19	1	11	0	4	2	7	5	27	0	43	0	4	4	3	0	24	38	4	6	6	27	8	32	9	0	0	30	1	12	46	3	20	5	0	10	7	5	21	3	1	5	6	12	0	27	30	2	0	4	0	1	25	2	38	0	30	2	42	76	2	4	19	6	5	4	10	3	12	1	3	14	4	11	30	11	18	6	8	0	0	0	0
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Ruminococcus sp. N15.MGS-57	OTU_14	33	81	1	3	18	42	47	29	15	121	6	83	4	1	0	169	0	134	84	52	38	0	12	29	0	77	20	11	8	9	0	0	98	10	25	32	11	0	6	122	4	24	13	0	72	17	0	0	36	11	48	0	130	0	48	30	0	0	27	0	28	10	36	39	10	0	0	32	11	77	0	25	6	69	1	27	17	0	0	6	106	53	4	2	12	0	8	42	7	26	32	11	38	17	40	0	0	49	272	19	5	155	49	22	199	61	0	13	99	4	19	13	2	2	0	19	1	128	0	18	13	19	0	0	0	0
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;uncultured bacterium	OTU_85762	273	1017	0	354	28	53	89	10	3	58	232	419	74	92	96	81	49	208	101	43	88	25	184	51	5	185	22	172	6	66	0	0	34	105	18	158	11	0	8	36	119	23	18	37	62	67	0	21	133	7	7	0	550	46	509	140	0	2	69	29	177	7	20	93	193	37	9	94	40	232	35	402	77	42	8	93	18	0	31	24	52	317	24	5	63	36	2	165	185	62	37	11	153	10	121	17	2	129	316	102	10	134	50	60	328	47	8	1	164	60	135	44	13	3	0	133	1	169	12	682	20	9	9	0	0	0
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;uncultured Firmicutes bacterium	OTU_65337	20	39	0	13	1	4	6	3	0	1	4	33	1	5	7	1	5	11	6	1	8	0	1	4	1	12	0	10	0	3	0	0	0	6	0	14	1	0	0	0	7	2	0	2	1	1	0	1	11	0	0	0	25	0	39	6	0	0	8	3	5	0	0	2	8	1	1	9	3	16	0	26	7	3	0	4	2	0	5	0	2	25	0	0	5	2	0	7	19	3	0	0	7	0	1	2	0	13	11	10	1	9	0	6	21	4	2	0	4	2	11	1	0	0	0	14	1	8	3	36	2	0	0	0	0	0
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;uncultured;uncultured Firmicutes bacterium	OTU_4077	4	5	10	30	0	11	26	6	20	2	24	19	5	10	1	6	3	48	7	25	40	20	35	8	17	1	1	22	2	23	0	28	0	9	1	0	6	6	1	9	11	3	5	5	0	2	16	1	2	10	2	43	6	18	7	8	0	11	24	23	2	6	3	4	2	4	16	2	10	3	15	2	9	10	22	12	5	17	3	0	1	14	2	0	16	3	9	8	3	4	0	0	18	0	3	16	41	6	10	2	0	23	20	13	3	2	8	2	1	5	15	0	7	9	3	18	10	2	49	17	4	13	11	0	0	0
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;uncultured;uncultured Veillonellaceae bacterium	OTU_79	0	16	0	26	2	37	38	12	10	8	25	19	17	10	10	3	3	115	22	94	21	12	5	4	13	4	6	26	1	2	0	49	1	11	4	7	5	29	2	6	11	23	32	9	6	1	45	4	23	7	1	11	1	13	8	11	17	7	11	28	9	1	8	7	7	9	13	6	6	5	30	4	2	24	46	1	0	38	4	0	6	63	1	0	20	5	11	5	4	11	0	0	20	0	6	21	81	5	16	5	0	22	47	53	0	30	2	3	4	7	5	26	7	12	4	20	9	6	44	10	7	7	10	0	0	0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium sp. HMSC073F01	OTU_83450	115	8	0	4	1	318	23	0	0	37	514	71	80	819	23	0	8	11	20	0	13	827	3	11	39	0	17	28	0	10	0	0	11	170	12	0	3	0	4	51	40	1	147	33	7	19	0	93	31	2	6	20	5	40	84	37	0	47	39	157	375	7	7	17	23	21	64	12	112	65	58	0	20	24	4	26	1	0	54	17	6	74	7	0	11	15	0	71	38	13	55	19	21	0	3	67	0	5	0	110	4	28	152	26	0	43	1	0	11	4	1	24	9	9	1	29	101	8	8	4	0	0	0	0	0	0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium ulcerans 12-1B	OTU_22	369	467	0	486	14	1003	72	40	1	95	2494	3121	2092	3592	43	5	467	194	95	3	73	3745	27	35	150	0	113	547	0	47	1	0	34	824	31	3	12	1	33	119	133	2	5229	141	69	112	0	313	114	5	6	101	364	198	238	107	2	114	96	477	2139	10	28	425	124	82	199	148	594	399	224	0	81	94	134	124	3	0	123	58	134	330	68	0	54	90	0	203	77	114	397	2630	67	5	93	244	0	13	1	356	124	150	410	517	8	110	14	0	182	45	13	96	128	56	34	91	318	64	472	61	3	9	47	0	0	0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;uncultured bacterium	OTU_33	291	171	491	123	156	2638	102	3267	145	3327	165	789	869	99	62	71	154	64	198	196	762	106	75	222	378	402	3180	581	147	92	0	0	221	68	1801	743	180	0	268	2456	393	2609	756	51	256	879	0	322	439	1540	499	42	588	291	417	152	0	99	462	400	550	440	391	424	77	90	249	173	25	75	323	24	259	338	269	170	695	0	246	93	104	388	136	12	77	36	230	500	312	41	345	515	129	41	143	122	0	89	815	544	40	231	659	45	344	157	55	65	317	54	25	51	154	125	0	153	184	270	14	33	27	92	6	0	0	0
Bacteria;Patescibacteria;Gracilibacteria;Absconditabacteriales (SR1);uncultured candidate division SR1 bacterium;Other;Other	OTU_4844	0	0	62	0	3	1	9	56	12	280	2	3	26	2	1	1	12	3	3	0	69	1	0	8	12	4	72	0	62	8	0	14	1	7	251	3	23	0	4	80	6	6	2	6	28	11	14	19	1	78	172	0	0	27	4	1	0	4	6	11	1	321	30	12	11	4	2	8	0	4	16	4	6	12	2	8	27	8	20	0	8	23	31	0	0	3	3	3	4	0	4	0	9	0	2	6	0	0	5	4	5	0	13	1	14	2	8	71	10	1	1	4	41	11	0	16	3	21	0	0	3	3	1	0	0	0
Bacteria;Patescibacteria;Gracilibacteria;Absconditabacteriales (SR1);uncultured rumen bacterium;Other;Other	OTU_41	18	7	108	6	0	287	52	13	30	579	54	85	142	149	21	0	48	14	25	0	76	296	0	45	48	43	233	3	28	8	0	0	0	680	109	40	172	0	40	264	56	12	12	16	28	3	0	12	9	155	79	25	25	57	19	31	0	28	244	77	63	230	15	9	84	13	12	195	63	122	33	10	100	37	45	96	46	2	74	7	6	238	202	0	91	1	23	91	37	0	3	305	44	0	11	13	0	0	18	25	11	0	24	8	4	32	31	29	11	3	11	48	222	85	0	120	21	10	10	1	17	6	4	0	0	0
Bacteria;Patescibacteria;Gracilibacteria;JGI 0000069-P22;uncultured Microgenomates group bacterium;Other;Other	OTU_496	13	3	74	16	7	40	43	232	30	79	29	13	25	11	0	3	14	0	11	0	171	20	10	26	17	3	81	1	18	7	0	69	40	40	77	134	63	4	31	42	43	187	18	0	22	34	56	2	24	35	4	18	35	36	80	24	5	43	53	57	74	20	66	23	9	2	22	11	35	9	58	0	21	65	49	14	70	29	1	7	7	32	59	1	27	0	57	73	34	7	0	96	58	0	11	17	51	28	12	2	1	14	59	0	185	27	4	7	6	0	2	2	45	33	0	125	34	27	26	5	13	8	9	0	0	0
Bacteria;Planctomycetota;vadinHA49;uncultured bacterium;Other;Other;Other	OTU_411	9	11	19	3	0	2	7	5	24	9	25	23	10	13	38	9	0	12	32	19	39	12	13	26	43	31	52	6	17	29	0	53	7	20	46	5	14	104	8	43	81	57	195	9	64	4	19	27	42	75	2	90	37	22	21	101	438	12	139	24	13	7	25	2	10	32	15	26	13	16	11	3	27	14	47	14	25	37	18	1	7	59	88	4	44	11	33	35	30	5	3	1	4	13	13	26	9	12	2	3	2	12	0	2	45	13	13	1	22	7	10	2	48	9	2	26	5	28	22	9	4	24	4	0	0	0
Bacteria;Planctomycetota;vadinHA49;uncultured organism;Other;Other;Other	OTU_11101	5	4	7	0	6	0	0	0	7	101	12	2	0	0	6	0	0	0	11	0	5	2	8	1	8	0	0	0	2	2	0	15	0	3	19	0	2	20	0	323	25	25	8	12	8	0	16	1	13	0	4	7	7	11	13	10	17	0	8	25	2	8	3	2	2	13	5	7	10	1	13	0	17	22	3	1	0	16	0	1	3	29	5	0	21	2	2	10	14	0	0	0	4	0	6	5	0	8	0	7	2	3	6	0	0	7	0	0	1	0	0	0	6	8	0	10	2	1	4	1	0	3	0	0	0	0
Bacteria;Planctomycetota;vadinHA49;uncultured Planctomycetaceae bacterium;Other;Other;Other	OTU_39159	0	0	0	0	0	0	0	2	7	2	10	0	3	10	4	0	0	7	4	0	2	1	1	0	4	0	4	0	4	0	0	3	0	10	7	0	0	16	0	2	4	6	16	0	1	0	3	0	2	2	0	8	3	0	0	12	11	2	12	8	11	0	8	0	3	6	0	1	4	7	2	0	2	6	10	0	0	2	4	2	0	4	2	0	0	3	2	0	2	0	0	0	0	0	7	2	0	3	0	2	0	0	7	2	1	6	3	0	0	0	0	0	1	3	0	1	2	0	4	0	0	5	8	0	0	0
Bacteria;Planctomycetota;vadinHA49;uncultured planctomycete;Other;Other;Other	OTU_19055	0	14	14	4	0	3	0	4	17	3	7	8	2	2	19	0	0	8	22	8	21	2	0	0	24	1	11	2	7	11	0	7	0	11	14	0	5	42	2	9	5	32	24	18	10	4	5	3	6	16	2	24	9	7	8	7	84	6	34	15	3	0	6	1	0	17	12	0	5	3	16	1	6	24	8	2	12	1	4	1	2	68	7	0	1	0	24	9	3	6	2	1	0	0	13	7	5	4	0	5	0	6	2	1	2	7	2	0	9	0	0	0	0	2	1	3	7	0	12	3	0	2	3	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;uncultured;metagenome	OTU_21	0	35	77	51	0	0	1	21	373	206	32	6	2	12	2	3	0	1	0	0	1201	2	0	35	22	0	0	8	534	1	0	0	0	18	61	0	316	0	0	67	0	178	6	5	0	0	0	0	0	3	54	103	75	19	0	2	0	36	0	10	0	12	2	0	0	0	117	1	43	61	17	0	5	0	244	3	151	0	0	0	0	1	0	0	0	0	545	0	2	0	0	2	12	0	0	62	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	209	0	2	1	0	45	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;Agrobacterium pusense	OTU_270	7	0	0	0	0	0	2	0	1	0	29	2	38	0	0	2	0	0	4	4	0	0	2	0	0	0	2	0	0	0	2673	7	6	25	0	0	0	2	0	0	0	4	0	0	0	0	0	63	0	4	0	0	0	0	1	9	6	0	695	0	0	1	0	0	5	0	0	0	14	12	0	0	0	0	0	0	0	0	1	0	71	88	0	177	30	0	6	15	2	1	0	0	0	401	45	0	48	0	0	22	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium;metagenome	OTU_438	0	0	0	0	37	0	23	6	0	0	0	0	3	0	11	0	0	0	11	0	0	0	0	4	89	0	2	0	0	7	0	0	1	0	0	9	0	0	0	0	2	5	0	0	9	0	0	69	14	0	0	0	0	0	0	1	0	16	0	1	0	0	32	1	0	3	0	0	0	0	187	0	8	79	1	8	0	0	166	5	0	9	6	0	4	15	0	2	0	0	16	0	42	0	5	0	0	0	4	43	0	0	80	0	0	1	5	0	0	0	0	37	3	4	0	5	120	0	0	0	0	0	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ochrobactrum;Ochrobactrum sp. 10	OTU_125	5	2	0	0	3	0	4	0	9	3	7	3	0	1	17	1	0	1	3	0	0	1	18	6	8	11	0	1	0	1	0	0	0	38	0	0	0	0	0	0	4	0	7	20	23	0	0	1	6	0	0	7	13	13	10	10	0	4	0	10	0	2	1	0	47	7	22	26	2	0	1	2	1	5	6	11	3	0	7	2	5	2	8	0	22	0	0	8	16	0	0	2	5	2	22	11	0	0	0	0	0	1	0	0	0	7	3	0	7	0	0	0	1	1	3	15	16	0	6	7	0	0	3	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ochrobactrum;uncultured bacterium	OTU_86833	4	0	0	0	2	0	5	0	0	5	2	1	0	0	3	0	0	0	19	0	8	19	0	10	13	9	0	0	8	2	14	0	0	10	6	0	2	2	0	4	4	3	16	28	12	1	0	8	4	0	4	25	1	26	7	5	0	3	0	23	1	10	4	1	14	1	14	7	7	0	12	12	1	3	14	0	47	0	0	6	6	27	2	0	9	0	4	5	24	0	2	0	4	1	1	16	4	1	0	8	0	0	5	0	0	4	1	6	13	0	0	16	6	0	3	1	4	9	6	0	0	0	2	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Terasakiellaceae;uncultured;uncultured organism	OTU_42395	2	0	0	0	0	0	7	0	3	1	22	0	0	6	10	0	0	0	9	0	0	35	17	17	40	8	0	0	0	1	0	0	0	6	2	0	0	0	0	0	12	0	0	17	0	0	0	21	56	22	0	19	0	51	3	2	0	12	2	6	0	0	0	0	31	2	7	23	14	4	54	9	21	6	8	31	0	0	4	8	0	11	11	0	54	4	4	1	46	0	0	2	7	0	16	6	0	13	0	3	0	3	14	0	0	34	5	0	0	0	2	3	0	2	0	22	0	0	0	0	3	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured;gut metagenome;Other	OTU_425	3	3	19	13	79	1	42	751	13	29	1	3	6	2	2	3	0	2	13	0	0	30	0	22	85	2	1	4	0	12	0	3	9	20	40	3	1	0	0	6	32	30	9	3	49	1	3	10	31	202	11	2	1	29	5	18	0	12	0	7	203	28	8	61	141	4	18	127	0	5	55	11	37	11	41	92	20	3	6	5	0	49	48	0	18	5	275	4	19	2	71	0	53	15	17	62	0	0	4	22	0	1	34	1	61	2	23	29	31	0	0	26	8	33	2	10	49	0	32	0	1	7	16	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured;metagenome;Other	OTU_262	8	0	38	13	11	0	16	27	4	34	6	0	41	6	9	1	15	4	4	0	12	5	0	43	17	0	0	16	8	7	0	2	10	3	25	4	1	0	1	13	9	10	4	5	20	22	0	3	19	28	14	0	0	13	18	23	0	1	4	14	4	31	2	3	38	13	3	21	1	3	28	0	13	5	2	14	19	0	22	1	8	38	17	0	14	3	45	14	15	1	6	0	15	3	10	8	0	5	5	7	0	0	13	12	11	4	11	3	4	0	0	16	7	16	4	12	4	10	0	0	2	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured;uncultured Alphaproteobacteria bacterium;Other	OTU_2194	17	15	15	23	136	17	219	64	8	102	9	47	10	25	53	4	6	13	53	0	48	144	12	92	41	7	6	6	9	30	2	1	61	28	90	8	4	2	3	67	20	36	98	38	86	12	5	32	25	230	9	76	73	23	57	80	0	124	1	97	43	64	18	36	136	43	23	164	29	15	65	3	63	168	37	90	170	7	27	23	27	375	85	2	59	6	85	75	79	0	58	7	62	13	8	27	0	13	16	165	0	15	161	4	53	37	37	1	11	5	10	111	8	162	37	32	112	90	20	12	2	5	5	0	0	0
